"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Colombia","Americas",2022-04-01,89666.9677937553,85521.5809606687,94130.0649331624,60705.395940654,57898.9293541122,63726.9554472996,54730.8336486599,52200.5766013506,57455.0143933077
"Comoros","African ",2022-04-01,3083.34321871021,2234.05099711224,3865.49285888501,2799.54091060903,2030.06989511456,3502.04067702219,2663.77662992043,1931.58815117349,3332.27178511948
"Congo","African ",2022-04-01,25770.7481117912,19142.4251526151,32157.2797608739,23180.5244042464,17212.3708281803,28893.1021141314,22056.4100201944,16377.531438761,27491.991114586
"Democratic Republic of the Congo","African ",2022-04-01,237399.449196477,132196.994709827,342556.739865073,210145.291507997,117073.098395872,303045.880823268,199904.524899063,111368.736977737,288274.203246654
"Costa Rica","Americas",2022-04-01,1864.54483802063,1115.63943292682,3045.05120768039,1008.08280596134,523.714801958864,1900.63855685043,901.385057915643,463.598231565221,1718.43102339301
"Cote d'Ivoire","African ",2022-04-01,80623.6278323254,52209.6205291413,107665.584342115,72143.2457568883,46708.2250964923,96301.66913565,68640.9565594635,44438.899025461,91625.5459580307
"Croatia","European",2022-04-01,860.615827673479,493.331837627648,1496.21914613986,534.924511518329,269.616810499635,1058.94514477912,492.345026270766,246.059378375686,982.875350082196
"Cuba","Americas",2022-04-01,4860.10113880171,1704.71568747222,9816.89190148786,2471.84287747635,812.017506787399,5536.46152248192,2200.45113436416,717.605038243976,4975.35623584547
"Cyprus","European",2022-04-01,30.264336471036,14.3386173188559,56.9410665027528,17.7811983711793,7.69420638603433,37.3959053057782,16.3051819909081,6.9936258182944,34.4381669907274
"Czech Republic","Eastern European",2022-04-01,12111.0992081424,7150.12921215478,19372.0223484575,6548.34158155293,3351.68536909977,12051.4409093358,5855.27460795155,2966.6720870331,10895.184418538
"Denmark","European",2022-04-01,1286.55998014721,750.503453701981,2200.43986896664,961.98810707912,498.436675711908,1852.39783354145,896.354348951515,460.95052308077,1739.11479437773
"Djibouti","Eastern Mediterranean",2022-04-01,3515.21612921727,2217.9297945936,5065.21810777103,2911.34917525664,1679.84084182052,4452.5485703485,2705.81287475544,1543.70129192452,4175.78509585607
"Dominica","Americas",2022-04-01,42.1620237420022,16.6744381684957,83.8647930703032,22.4776382711458,7.90063116612683,51.5012417654146,20.0778844057592,6.99073024428384,46.4779170022621
"Dominican Republic","Americas",2022-04-01,12935.9465869684,5903.48413032714,21914.2189515962,9450.76285155931,4015.44462142409,17425.8329097116,8664.84997469079,3653.47779966646,16105.6909725261
"Ecuador","Americas",2022-04-01,81835.7985217931,54284.7275388485,114243.019193349,62359.9896592585,36396.3530434489,95937.6747120904,57416.8745472709,33106.9729862673,89248.3935713765
"Egypt","Eastern Mediterranean",2022-04-01,478808.016148358,398068.405345764,549072.918411992,444359.631487754,362115.523721976,509944.757568242,420961.431247131,341041.562632422,484249.155473482
"El Salvador","Americas",2022-04-01,10897.1123501597,6408.15018376484,17485.3947241869,6874.43245805372,3565.92243798756,12471.6752787978,6220.82898382384,3193.02118043506,11411.2497649313
"Equatorial Guinea","African ",2022-04-01,6061.43574372507,4353.67653704273,7825.74174502421,5459.4339619599,3922.35230824155,7056.86403188703,5194.72889771118,3732.05819603786,6714.20652658192
"Eritrea","African ",2022-04-01,19486.5154393977,12333.2831159281,26708.0021084224,17813.282529877,11285.6999960343,24361.0668659285,16947.3447612829,10730.9608492057,23178.8928891469
"Estonia","European",2022-04-01,360.5131582105,207.868834991825,622.28554093232,251.620241153554,128.161784729036,491.663520195934,233.377158025282,117.881109395731,459.580803387291
"Eswatini","African ",2022-04-01,18174.8957068254,12452.501249093,24518.6759210076,16284.7308556254,10578.7058950652,22482.8626027674,15304.0876998986,9889.10026709313,21223.3026420379
"Ethiopia","African ",2022-04-01,453576.057125588,269547.842033959,639984.069065044,413574.395924488,245586.824127533,583734.099421836,393494.150270442,233673.675828016,555311.602144999
"Fiji","Western Pacific",2022-04-01,1950.47676492158,1184.699769073,2828.84892606913,1685.43864392823,967.913284068808,2535.50462517154,1575.17626650917,896.190748443939,2388.21332821759
"Finland","European",2022-04-01,615.881032973348,337.525226989472,1085.40616936137,385.097373846286,186.961433296756,764.895194860695,354.58363076855,170.609247177825,709.266401073789
"France","European",2022-04-01,8831.79734389909,8831.79734389909,8831.79734389909,7038.67109770547,7038.67109770547,7038.67109770547,6565.29568233161,6565.29568233161,6565.29568233161
"Gabon","African ",2022-04-01,8299.86715364662,6634.71963650339,10019.2281080487,7603.7204033643,6080.59717142195,9171.87802974518,7233.56627141728,5782.51568390663,8726.08061400393
"Gambia (Republic of The)","African ",2022-04-01,14550.9211698495,11520.188745057,17655.1694844303,12921.9310706362,10223.4380087007,15682.7265010444,12293.0335440932,9725.74942538369,14920.3335919905
